 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,12,9,6,3,0,7,6,6,2,2,53
Views Count,156,20,16,5,0,80,9,53,15,5,359
Unique Clones,2,1,1,1,0,3,1,5,2,0,16
Clones Count,6,3,1,4,0,6,4,9,2,0,35
