 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,8,5,4,2,0,2,4,6,1,0,32
Views Count,106,16,26,4,0,7,9,64,1,0,233
Unique Clones,2,2,3,2,0,0,0,3,1,0,13
Clones Count,4,2,3,2,0,0,0,3,1,0,15
