 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,Total
Unique Views,2,5,2,1,0,10
Views Count,105,27,21,1,0,154
Unique Clones,19,14,4,1,1,39
Clones Count,20,14,4,1,1,40
