 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,7,6,1,0,0,7,3,3,1,0,28
Views Count,80,88,1,0,0,54,14,39,2,0,278
Unique Clones,0,2,0,1,0,0,0,2,0,1,6
Clones Count,0,2,0,1,0,0,0,2,0,1,6
