 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,3,3,0,0,0,0,0,3,0,0,9
Views Count,11,6,0,0,0,0,0,27,0,0,44
Unique Clones,1,2,0,2,0,2,3,2,1,1,14
Clones Count,1,3,0,2,0,2,4,2,1,1,16
