 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,Total
Unique Views,4,8,2,3,1,18
Views Count,99,58,29,11,7,204
Unique Clones,3,1,7,1,1,13
Clones Count,3,1,8,1,1,14
