 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,2,1,1,2,0,0,0,4,1,2,13
Views Count,108,44,25,15,0,0,0,32,1,18,243
Unique Clones,5,5,12,6,1,1,3,1,0,0,34
Clones Count,8,6,18,6,1,1,4,1,0,0,45
