 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,4,3,1,2,0,0,1,3,2,1,17
Views Count,76,57,18,22,0,0,2,16,2,7,200
Unique Clones,3,4,7,3,1,1,3,0,1,1,24
Clones Count,6,6,8,4,1,1,4,0,1,1,32
