 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,2,2,1,2,0,1,2,4,0,1,15
Views Count,7,10,5,6,0,2,10,21,0,10,71
Unique Clones,2,3,0,3,1,2,1,3,0,0,15
Clones Count,2,4,0,3,1,2,2,5,0,0,19
