 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,Total
Unique Views,5,5,4,0,1,15
Views Count,189,24,30,0,1,244
Unique Clones,11,4,3,0,1,19
Clones Count,12,4,3,0,1,20
