 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,2,3,0,1,0,6,2,2,0,0,16
Views Count,28,6,0,11,0,18,2,12,0,0,77
Unique Clones,1,0,0,0,0,0,0,4,0,0,5
Clones Count,1,0,0,0,0,0,0,4,0,0,5
