 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,Total
Unique Views,9,5,3,2,2,21
Views Count,199,37,20,14,2,272
Unique Clones,7,3,5,8,2,25
Clones Count,9,3,6,8,2,28
