 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,4,6,1,0,1,3,1,4,1,1,22
Views Count,39,36,1,0,1,104,1,22,2,3,209
Unique Clones,0,1,0,2,0,2,0,3,0,0,8
Clones Count,0,1,0,2,0,2,0,3,0,0,8
