 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,2,1,1,1,0,2,1,2,0,1,11
Views Count,11,8,6,3,0,3,10,16,0,4,61
Unique Clones,1,1,0,2,1,2,1,4,0,1,13
Clones Count,2,2,0,4,1,4,4,8,0,1,26
