 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,4,5,1,1,0,0,0,1,1,0,13
Views Count,47,15,21,3,0,0,0,31,1,0,118
Unique Clones,2,1,3,3,0,1,2,2,0,0,14
Clones Count,2,1,3,3,0,1,4,2,0,0,16
