 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,2,2,1,1,0,0,1,3,1,1,12
Views Count,51,7,7,7,0,0,1,34,1,17,125
Unique Clones,5,4,6,4,0,0,0,1,0,0,20
Clones Count,5,5,10,4,0,0,0,1,0,0,25
