 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,3,3,0,1,0,3,1,3,2,0,16
Views Count,10,15,0,10,0,6,2,35,2,0,80
Unique Clones,1,1,0,0,0,4,2,2,1,1,12
Clones Count,1,1,0,0,0,4,2,2,1,1,12
