 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,9,7,3,2,1,7,2,4,2,3,40
Views Count,97,17,7,4,1,144,2,22,15,8,317
Unique Clones,2,1,0,2,0,5,1,5,1,0,17
Clones Count,3,2,0,5,0,8,4,8,1,0,31
