 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,8,5,2,4,2,7,1,3,4,3,39
Views Count,148,38,15,39,28,120,10,34,32,14,478
Unique Clones,9,3,5,16,3,15,4,12,0,4,71
Clones Count,11,3,5,17,3,22,7,16,0,4,88
