 ,MIRON-Components,MIRON-Systems,DomainModelsRepositories,MIRON-BehaviorRepository,MIRON-DataRepository,ZMQServer,DataRepository,MOOD2Be,MIRON-Modeling-Tools,MIRON-Roqme,Total
Unique Views,7,5,1,5,1,9,2,5,4,11,50
Views Count,123,39,2,51,1,258,3,45,13,70,605
Unique Clones,6,3,0,9,0,16,4,9,0,3,50
Clones Count,8,3,0,10,0,22,5,9,0,3,60
